PdDistrict,total,PROSTITUTION,VEHICLE_THEFT
SOUTHERN,25639,18,1422
MISSION,21117,713,2056
INGLESIDE,13978,5,2317
PARK,8203,2,1207
TENDERLOIN,12724,527,371
RICHMOND,7682,15,1080
BAYVIEW,15710,11,2118
CENTRAL,13585,69,1191
TARAVAL,11289,10,1663
NORTHERN,18926,581,1868
