2015,SOUTHERN,MISSION,INGLESIDE,PARK,TENDERLOIN,RICHMOND,BAYVIEW,CENTRAL,TARAVAL,NORTHERN
total,29712,18307,13136,9227,10590,8975,14372,18368,11755,19821
PROSTITUTION,96,66,4,1,23,9,7,44,79,42
VEHICLE THEFT,791,1193,1362,637,113,558,977,550,787,943
