x,y,label
-122.415989805,37.7617265714,0
-122.418734691,37.7876426578,1
-122.48656117,37.7584906929,2
-122.40404379,37.727736723,3
-122.405228597,37.7851381146,4
-122.465440364,37.7194393627,5
